0.50 -0.974155 0.000491875
0.55 -0.955238 0.000536611
0.60 -0.93441 0.000455835
0.65 -0.913918 0.000416389
0.70 -0.892359 0.000387225
0.75 -0.870492 0.000321794
0.80 -0.848258 0.000294118
0.85 -0.82614 0.000268184
0.90 -0.804414 0.00029121
0.95 -0.782689 0.00025105
1.00 -0.761887 0.000241767
1.05 -0.740955 0.000224088
1.10 -0.720546 0.000198244
1.15 -0.701246 0.000222665
1.20 -0.682416 0.000207047
1.25 -0.66425 0.000184276
1.30 -0.646576 0.000188673
1.35 -0.629554 0.000188534
1.40 -0.61323 0.000177838
1.45 -0.597684 0.000164272
1.50 -0.582759 0.000166841
1.55 -0.568434 0.000184611
1.60 -0.554508 0.000192956
1.65 -0.541249 0.000180145
1.70 -0.528379 0.000188788
1.75 -0.516399 0.00017778
1.80 -0.504656 0.000182335
1.85 -0.493365 0.000184099
1.90 -0.482579 0.000167617
1.95 -0.472125 0.000166058
2.00 -0.462186 0.000164192
