0.50 77.6458 0.685884
0.55 59.1288 0.621529
0.60 44.1622 0.511492
0.65 32.8758 0.41065
0.70 24.3565 0.281512
0.75 18.9731 0.191532
0.80 15.0641 0.135763
0.85 12.1565 0.0981364
0.90 10.222 0.0792443
0.95 8.57277 0.0547142
1.00 7.35148 0.0474271
1.05 6.39262 0.0373495
1.10 5.6022 0.0292029
1.15 4.9492 0.0241785
1.20 4.40731 0.0194319
1.25 3.97198 0.0173243
1.30 3.58351 0.0147898
1.35 3.25579 0.0130487
1.40 2.97463 0.0116717
1.45 2.7306 0.0103016
1.50 2.52166 0.00930021
1.55 2.34759 0.00847158
1.60 2.18439 0.007256
1.65 2.03894 0.00642348
1.70 1.90545 0.00634423
1.75 1.78973 0.00584143
1.80 1.68661 0.00553986
1.85 1.59491 0.00519783
1.90 1.51 0.00494438
1.95 1.43358 0.00449029
2.00 1.36267 0.00406397
