0.50 0.893868 0.00713836
0.55 0.788261 0.00807411
0.60 0.669785 0.00858561
0.65 0.545 0.00619477
0.70 0.443941 0.00538893
0.75 0.36212 0.00487803
0.80 0.287279 0.00455021
0.85 0.234882 0.00337875
0.90 0.199243 0.0027005
0.95 0.170368 0.0024142
1.00 0.143478 0.00211111
1.05 0.123825 0.00174191
1.10 0.11067 0.00180435
1.15 0.0931383 0.00153638
1.20 0.086249 0.00127322
1.25 0.0780541 0.00108072
1.30 0.0695986 0.00118928
1.35 0.0650088 0.000965631
1.40 0.0583592 0.000850243
1.45 0.0555846 0.00101117
1.50 0.0515409 0.000689768
1.55 0.0472566 0.00069145
1.60 0.0435018 0.000695469
1.65 0.042355 0.000693049
1.70 0.038064 0.000614853
1.75 0.0363717 0.000644282
1.80 0.0344748 0.000617384
1.85 0.0311864 0.000613931
1.90 0.031124 0.000597662
1.95 0.028662 0.000526048
2.00 0.0275132 0.000503987
